word,total_count
gloucesters,70
hubert,70
katherine.,70
stays,69
was.,69
practice,69
trees,69
purpose.,69
pocket,69
hanging,69
express,69
feeling,69
farther,69
discover,69
darkness,69
afterwards,69
bent,69
blown,69
tame,68
reading,68
today.,68
wounded,68
saucy,68
sway,68
tall,68
urge,68
satisfied,68
rob,68
rivers,68
weapons,68
whore,68
wrongd,68
thereof,68
envious,68
pen,68
dearly,68
modest,68
dagger,68
odds,68
fortune.,68
deceivd,68
hall,68
dew,68
ignorance,68
picture,68
kingdoms,68
lusty,68
gown,68
dinner.,68
art.,68
amen.,68
thisby,68
mowbray.,68
carried,68
awhile.,68
personae,68
convey,68
scotland,68
another.,68
portia,68
costard,68
complexion,68
pucelle,68
horatio,68
dauphin.,68
launcelot,68
jupiter,68
burgundy.,68
profit,67
pause,67
mischief,67
faint,67
ground.,67
travel,66
slept,66
senses,66
temper,66
unnatural,66
sky,66
wondrous,66
worn,66
spur,66
widow.,66
trade,66
prayer,66
pursue,66
sold,66
strive,66
shall.,66
stayd,66
tears.,66
snow,66
withdraw,66
start,66
gold.,66
honey,66
mass,66
eight,66
object,66
